nvm-sh/nvm,93313,Shell,https://github.com/nvm-sh/nvm
browser-use/browser-use,93236,Python,https://github.com/browser-use/browser-use
garrytan/gstack,92906,TypeScript,https://github.com/garrytan/gstack
hacksider/Deep-Live-Cam,92862,Python,https://github.com/hacksider/Deep-Live-Cam
rasbt/LLMs-from-scratch,92451,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch
ruanyf/weekly,90707,,https://github.com/ruanyf/weekly
PanJiaChen/vue-element-admin,90271,Vue,https://github.com/PanJiaChen/vue-element-admin
storybookjs/storybook,89878,TypeScript,https://github.com/storybookjs/storybook
oven-sh/bun,89839,Zig,https://github.com/oven-sh/bun
bitcoin/bitcoin,89044,C++,https://github.com/bitcoin/bitcoin
gin-gonic/gin,88463,Go,https://github.com/gin-gonic/gin
microsoft/playwright,88389,TypeScript,https://github.com/microsoft/playwright
gohugoio/hugo,88000,Go,https://github.com/gohugoio/hugo
ChatGPTNextWeb/NextChat,87962,TypeScript,https://github.com/ChatGPTNextWeb/NextChat
mermaid-js/mermaid,87954,TypeScript,https://github.com/mermaid-js/mermaid
django/django,87456,Python,https://github.com/django/django
opencv/opencv,87415,C++,https://github.com/opencv/opencv
home-assistant/core,86993,Python,https://github.com/home-assistant/core
3b1b/manim,86718,Python,https://github.com/3b1b/manim
punkpeye/awesome-mcp-servers,86625,,https://github.com/punkpeye/awesome-mcp-servers
sveltejs/svelte,86520,JavaScript,https://github.com/sveltejs/svelte
louislam/uptime-kuma,86497,JavaScript,https://github.com/louislam/uptime-kuma
microsoft/ML-For-Beginners,85713,Jupyter Notebook,https://github.com/microsoft/ML-For-Beginners
MunGell/awesome-for-beginners,85438,,https://github.com/MunGell/awesome-for-beginners
modelcontextprotocol/servers,85388,TypeScript,https://github.com/modelcontextprotocol/servers
astral-sh/uv,84683,Rust,https://github.com/astral-sh/uv
laravel/laravel,84220,Blade,https://github.com/laravel/laravel
syncthing/syncthing,83798,Go,https://github.com/syncthing/syncthing
macrozheng/mall,83574,Java,https://github.com/macrozheng/mall
realworld-apps/realworld,83413,TypeScript,https://github.com/realworld-apps/realworld
sherlock-project/sherlock,83179,Python,https://github.com/sherlock-project/sherlock
animate-css/animate.css,82519,CSS,https://github.com/animate-css/animate.css
react/create-react-app,103386,JavaScript,https://github.com/react/create-react-app
zed-industries/zed,82842,Rust,https://github.com/zed-industries/zed
openai/codex,82837,Rust,https://github.com/openai/codex
bregman-arie/devops-exercises,82362,Python,https://github.com/bregman-arie/devops-exercises
tonsky/FiraCode,81619,Clojure,https://github.com/tonsky/FiraCode
localsend/localsend,81281,Dart,https://github.com/localsend/localsend
Developer-Y/cs-video-courses,81247,,https://github.com/Developer-Y/cs-video-courses
karpathy/autoresearch,81204,Python,https://github.com/karpathy/autoresearch
spring-projects/spring-boot,80641,Java,https://github.com/spring-projects/spring-boot
vitejs/vite,80620,TypeScript,https://github.com/vitejs/vite
infiniflow/ragflow,80566,Python,https://github.com/infiniflow/ragflow
junegunn/fzf,80268,Go,https://github.com/junegunn/fzf
vllm-project/vllm,80082,Python,https://github.com/vllm-project/vllm
anuraghazra/github-readme-stats,79429,JavaScript,https://github.com/anuraghazra/github-readme-stats
hoppscotch/hoppscotch,79189,TypeScript,https://github.com/hoppscotch/hoppscotch
doocs/advanced-java,78976,Java,https://github.com/doocs/advanced-java
nextlevelbuilder/ui-ux-pro-max-skill,78854,Python,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill
netdata/netdata,78819,C,https://github.com/netdata/netdata
Stirling-Tools/Stirling-PDF,78771,TypeScript,https://github.com/Stirling-Tools/Stirling-PDF
jesseduffield/lazygit,77971,Go,https://github.com/jesseduffield/lazygit
PaddlePaddle/PaddleOCR,77892,Python,https://github.com/PaddlePaddle/PaddleOCR
d2l-ai/d2l-zh,77852,Python,https://github.com/d2l-ai/d2l-zh
swisskyrepo/PayloadsAllTheThings,77710,Python,https://github.com/swisskyrepo/PayloadsAllTheThings
tensorflow/models,77663,Python,https://github.com/tensorflow/models
coder/code-server,77561,TypeScript,https://github.com/coder/code-server
nomic-ai/gpt4all,77369,C++,https://github.com/nomic-ai/gpt4all
lobehub/lobehub,77116,TypeScript,https://github.com/lobehub/lobehub
elastic/elasticsearch,76703,Java,https://github.com/elastic/elasticsearch
ventoy/Ventoy,76632,C,https://github.com/ventoy/Ventoy
FortAwesome/Font-Awesome,76594,JavaScript,https://github.com/FortAwesome/Font-Awesome
thedotmack/claude-mem,75888,TypeScript,https://github.com/thedotmack/claude-mem
TauricResearch/TradingAgents,75708,Python,https://github.com/TauricResearch/TradingAgents
typicode/json-server,75566,JavaScript,https://github.com/typicode/json-server
nestjs/nest,75493,TypeScript,https://github.com/nestjs/nest
awesomedata/awesome-public-datasets,75386,,https://github.com/awesomedata/awesome-public-datasets
Z4nzu/hackingtool,74618,Python,https://github.com/Z4nzu/hackingtool
dair-ai/Prompt-Engineering-Guide,74610,MDX,https://github.com/dair-ai/Prompt-Engineering-Guide
redis/redis,74366,C,https://github.com/redis/redis
tesseract-ocr/tesseract,74098,C++,https://github.com/tesseract-ocr/tesseract
unionlabs/union,74091,Rust,https://github.com/unionlabs/union
grafana/grafana,73765,TypeScript,https://github.com/grafana/grafana
